eta,alpha,lambda,add_layer,hidden_nodes,hidden_nodes2,optimizer,activation_function1,activation_function2,init_weights,batch_size,beta_1,beta_2,val_mee
0.001,0.7,0.0004,False,40,20,Adam,tanh,sigmoid,XavierNormalInitialization,32,0.9,0.9,1.15247
0.01,0.8,0.0004,False,30,20,RMSprop,sigmoid,sigmoid,RandomNormalInitialization,16,0.99,0.999,
0.001,0.8,0.0004,True,30,30,Adam,sigmoid,sigmoid,HeInitialization,16,0.9,0.99,1.07065
0.001,0.9,0.0002,True,30,40,Adam,tanh,sigmoid,HeInitialization,16,0.9,0.99,1.07979
0.0001,0.8,0.0002,True,30,40,RMSprop,tanh,tanh,RandomNormalInitialization,32,0.99,0.99,1.0993
0.0001,0.8,0.0005,True,20,30,RMSprop,sigmoid,tanh,HeInitialization,8,0.99,0.99,1.10313
0.001,0.8,0.0005,True,30,20,RMSprop,sigmoid,sigmoid,HeInitialization,16,0.99,0.9,1.10506
0.0001,0.8,0.0004,False,40,40,Adam,sigmoid,tanh,XavierNormalInitialization,8,0.99,0.99,1.11044
0.001,0.9,0.0004,False,20,30,Adam,sigmoid,tanh,HeInitialization,16,0.9,0.99,1.16705
0.01,0.7,0.0005,False,30,40,RMSprop,sigmoid,tanh,HeInitialization,8,0.9,0.999,
0.0001,0.9,0.0002,True,20,40,RMSprop,sigmoid,sigmoid,HeInitialization,32,0.99,0.99,1.09205
0.001,0.8,0.0005,True,30,30,RMSprop,sigmoid,sigmoid,RandomNormalInitialization,8,0.999,0.9,1.10638
0.001,0.8,0.0004,True,30,30,Adam,sigmoid,tanh,RandomNormalInitialization,64,0.9,0.99,1.12641
0.001,0.7,0.0009,True,20,20,RMSprop,sigmoid,sigmoid,RandomNormalInitialization,8,0.9,0.9,1.12779
0.01,0.7,0.0005,False,30,30,Adam,sigmoid,sigmoid,XavierNormalInitialization,64,0.9,0.99,1.14838
0.01,0.9,0.0005,False,20,30,SGD,tanh,tanh,RandomNormalInitialization,64,0.99,0.9,1.16595
0.01,0.9,0.0009,False,40,40,SGD,sigmoid,tanh,RandomNormalInitialization,16,0.9,0.99,1.19066
0.01,0.7,0.0004,True,30,20,Adam,tanh,sigmoid,HeInitialization,16,0.9,0.9,1.19086
0.001,0.9,0.0005,True,20,40,SGD,tanh,sigmoid,RandomNormalInitialization,16,0.999,0.9,1.20683
0.0001,0.8,0.0004,False,20,20,Adam,sigmoid,sigmoid,XavierNormalInitialization,8,0.99,0.9,1.21318
0.0001,0.8,0.0009,False,20,30,RMSprop,tanh,sigmoid,RandomNormalInitialization,16,0.999,0.9,1.22428
0.001,0.7,0.0002,True,20,30,SGD,tanh,sigmoid,RandomNormalInitialization,8,0.99,0.99,1.2271
0.001,0.8,0.0002,True,20,20,SGD,sigmoid,tanh,HeInitialization,64,0.999,0.99,1.22746
0.0001,0.9,0.0002,False,40,40,Adam,tanh,tanh,HeInitialization,16,0.9,0.9,1.23054
0.0001,0.9,0.0005,True,20,30,Adam,sigmoid,tanh,HeInitialization,64,0.99,0.999,1.23753
0.001,0.7,0.0005,True,40,40,RMSprop,tanh,tanh,HeInitialization,16,0.999,0.99,1.24618
0.0001,0.9,0.0009,False,30,20,Adam,tanh,tanh,HeInitialization,8,0.999,0.999,1.27222
0.01,0.7,0.0002,False,20,20,Adam,tanh,tanh,HeInitialization,16,0.9,0.9,1.34967
0.001,0.8,0.0009,True,30,40,SGD,tanh,sigmoid,XavierNormalInitialization,16,0.9,0.99,1.45159
0.001,0.7,0.0005,True,40,30,Adam,tanh,tanh,RandomNormalInitialization,32,0.999,0.999,1.72013
0.01,0.9,0.0009,False,20,40,RMSprop,tanh,sigmoid,XavierNormalInitialization,16,0.9,0.9,
0.01,0.7,0.0005,False,40,30,SGD,tanh,tanh,XavierNormalInitialization,16,0.9,0.9,1.14476
0.001,0.8,0.0005,False,40,20,RMSprop,sigmoid,tanh,RandomNormalInitialization,32,0.999,0.999,1.35191
0.0001,0.9,0.0005,False,40,40,Adam,tanh,tanh,HeInitialization,64,0.99,0.999,1.36117
0.001,0.7,0.0004,False,20,20,Adam,tanh,sigmoid,RandomNormalInitialization,32,0.9,0.999,1.36692
0.001,0.9,0.0005,False,30,20,SGD,sigmoid,sigmoid,HeInitialization,64,0.99,0.9,1.40063
0.001,0.7,0.0009,False,40,30,SGD,tanh,tanh,HeInitialization,64,0.999,0.999,1.43309
0.0001,0.9,0.0004,False,20,20,Adam,tanh,tanh,RandomNormalInitialization,32,0.999,0.999,1.44681
0.001,0.8,0.0005,False,40,20,RMSprop,tanh,tanh,HeInitialization,64,0.99,0.999,1.54774
0.001,0.7,0.0009,False,40,40,SGD,sigmoid,sigmoid,XavierNormalInitialization,16,0.9,0.99,1.72169
0.0001,0.9,0.0004,False,20,40,SGD,sigmoid,sigmoid,RandomNormalInitialization,32,0.99,0.99,2.08844
0.01,0.8,0.0005,True,30,30,Adam,sigmoid,tanh,RandomNormalInitialization,8,0.99,0.999,3.12224
0.01,0.9,0.0002,False,30,40,RMSprop,tanh,sigmoid,RandomNormalInitialization,64,0.999,0.99,3.48242
0.0001,0.7,0.0005,True,40,20,SGD,sigmoid,tanh,RandomNormalInitialization,16,0.9,0.9,4.06697
0.0001,0.8,0.0005,False,30,30,Adam,sigmoid,sigmoid,RandomNormalInitialization,16,0.9,0.999,4.23008
0.0001,0.8,0.0002,True,30,40,Adam,sigmoid,tanh,XavierNormalInitialization,32,0.99,0.9,5.36084
0.01,0.8,0.0004,True,30,30,Adam,tanh,tanh,XavierNormalInitialization,16,0.999,0.99,74.6306
0.01,0.9,0.0004,False,40,20,Adam,tanh,tanh,RandomNormalInitialization,64,0.999,0.9,732.422
0.01,0.7,0.0005,False,30,30,Adam,sigmoid,sigmoid,RandomNormalInitialization,32,0.999,0.9,761.653
0.01,0.9,0.0009,False,40,40,RMSprop,tanh,tanh,HeInitialization,16,0.99,0.9,
